,Year,City,Stop Name,Stop Abbrev,Total Stops
104,2000,Antioch,Antioch,AN,0.0
105,2000,Berkeley,Ashby,AS,1294967.0
106,2000,San Jose,Berryessa / North San José,BE,0.0
107,2000,San Leandro,Bayfair,BF,1528167.0
108,2000,Berkeley,Berkeley,BK,3259374.0
109,2000,San Francisco,Balboa Park,BP,3467538.0
110,2000,San Francisco,Civic Center,CC,4945449.0
111,2000,Oakland,Coliseum,CL,2230623.0
112,2000,Colma,Colma,CM,2031790.0
113,2000,Concord,Concord,CN,1717095.0
114,2000,Castro Valley,Castro Valley,CV,624084.0
115,2000,Daly City,Daly City,DC,2295387.0
116,2000,Dublin/Pleasanton,Dublin/Pleasanton,ED,1836214.0
117,2000,San Francisco,Embarcadero,EM,9439049.0
118,2000,El Cerrito,El Cerrito Del Norte,EN,2532567.0
119,2000,El Cerrito,El Cerrito Plaza,EP,1213776.0
120,2000,Fremont,Fremont,FM,1864403.0
121,2000,Oakland,Fruitvale,FV,2441546.0
122,2000,San Francisco,Glen Park,GP,2194119.0
123,2000,Hayward,Hayward,HY,1414837.0
124,2000,Lafayette,Lafayette,LF,907690.0
125,2000,Oakland,Lake Merritt,LM,1339305.0
126,2000,Oakland,MacArthur,MA,1897859.0
127,2000,Millbrae,Millbrae,MB,0.0
128,2000,Milpitas,Milpitas,ML,0.0
129,2000,San Francisco,Montgomery Street,MT,10312866.0
130,2000,Berkeley,North Berkeley,NB,1132549.0
131,2000,Concord,North Concord,NC,528245.0
132,2000,Oakland,Oakland International Airport,OA,0.0
133,2000,Orinda,Orinda,OR,797241.0
134,2000,Oakland,West Oakland,OW,1375324.0
135,2000,Pittsburg,Pittsburg Center,PC,0.0
136,2000,Pleasant Hill,Pleasant Hill,PH,1872437.0
137,2000,San Francisco,Powell Street,PL,7720158.0
138,2000,Richmond,Richmond,RM,1127594.0
139,2000,Oakland,Rockridge,RR,1443231.0
140,2000,San Bruno,San Bruno,SB,0.0
141,2000,Hayward,South Hayward,SH,878289.0
142,2000,San Leandro,San Leandro,SL,1499063.0
143,2000,San Francisco,San Francisco International Airport,SO,0.0
144,2000,South San Francisco,South San Francisco,SS,0.0
145,2000,Union City,Union City,UC,1195964.0
146,2000,Walnut Creek,Walnut Creek,WC,1769113.0
147,2000,Dublin/Pleasanton,West Dublin/Pleasanton,WD,0.0
148,2000,Pittsburg,Pittsburg/Bay Point,WP,1373551.0
149,2000,Fremont,Warm Springs,WS,0.0
150,2001,Oakland,12th Street / Oakland City Center,12,3466978.0
151,2001,San Francisco,16th Street Mission,16,2792681.0
152,2001,Oakland,19th Street Oakland,19,2278793.0
153,2001,San Francisco,24th Street Mission,24,3483113.0
154,2001,Antioch,Antioch,AN,0.0
155,2001,Berkeley,Ashby,AS,1269795.0
156,2001,San Jose,Berryessa / North San José,BE,0.0
157,2001,San Leandro,Bayfair,BF,1516743.0
158,2001,Berkeley,Berkeley,BK,3280005.0
159,2001,San Francisco,Balboa Park,BP,3657800.0
160,2001,San Francisco,Civic Center,CC,5272104.0
161,2001,Oakland,Coliseum,CL,2240295.0
162,2001,Colma,Colma,CM,1966380.0
163,2001,Concord,Concord,CN,1690538.0
164,2001,Castro Valley,Castro Valley,CV,611011.0
165,2001,Daly City,Daly City,DC,2308748.0
166,2001,Dublin/Pleasanton,Dublin/Pleasanton,ED,1802857.0
167,2001,San Francisco,Embarcadero,EM,9150912.0
168,2001,El Cerrito,El Cerrito Del Norte,EN,2455000.0
169,2001,El Cerrito,El Cerrito Plaza,EP,1125897.0
170,2001,Fremont,Fremont,FM,1808346.0
171,2001,Oakland,Fruitvale,FV,2355148.0
172,2001,San Francisco,Glen Park,GP,2131728.0
173,2001,Hayward,Hayward,HY,1407664.0
174,2001,Lafayette,Lafayette,LF,886345.0
175,2001,Oakland,Lake Merritt,LM,1368937.0
176,2001,Oakland,MacArthur,MA,1848443.0
177,2001,Millbrae,Millbrae,MB,0.0
178,2001,Milpitas,Milpitas,ML,0.0
179,2001,San Francisco,Montgomery Street,MT,9290706.0
180,2001,Berkeley,North Berkeley,NB,1108441.0
181,2001,Concord,North Concord,NC,540584.0
182,2001,Oakland,Oakland International Airport,OA,0.0
183,2001,Orinda,Orinda,OR,771423.0
184,2001,Oakland,West Oakland,OW,1404235.0
185,2001,Pittsburg,Pittsburg Center,PC,0.0
186,2001,Pleasant Hill,Pleasant Hill,PH,1788473.0
187,2001,San Francisco,Powell Street,PL,8417055.0
188,2001,Richmond,Richmond,RM,1268672.0
189,2001,Oakland,Rockridge,RR,1391514.0
190,2001,San Bruno,San Bruno,SB,0.0
191,2001,Hayward,South Hayward,SH,865482.0
192,2001,San Leandro,San Leandro,SL,1463850.0
193,2001,San Francisco,San Francisco International Airport,SO,0.0
194,2001,South San Francisco,South San Francisco,SS,0.0
195,2001,Union City,Union City,UC,1173050.0
196,2001,Walnut Creek,Walnut Creek,WC,1765556.0
197,2001,Dublin/Pleasanton,West Dublin/Pleasanton,WD,0.0
198,2001,Pittsburg,Pittsburg/Bay Point,WP,1415478.0
199,2001,Fremont,Warm Springs,WS,0.0
200,2002,Oakland,12th Street / Oakland City Center,12,3377088.0
201,2002,San Francisco,16th Street Mission,16,2475031.0
202,2002,Oakland,19th Street Oakland,19,2164622.0
203,2002,San Francisco,24th Street Mission,24,3310956.0
204,2002,Antioch,Antioch,AN,0.0
205,2002,Berkeley,Ashby,AS,1170275.0
206,2002,San Jose,Berryessa / North San José,BE,0.0
207,2002,San Leandro,Bayfair,BF,1397886.0
208,2002,Berkeley,Berkeley,BK,3250401.0
209,2002,San Francisco,Balboa Park,BP,3598651.0
210,2002,San Francisco,Civic Center,CC,5111699.0
211,2002,Oakland,Coliseum,CL,2298719.0
212,2002,Colma,Colma,CM,1883919.0
213,2002,Concord,Concord,CN,1571877.0
214,2002,Castro Valley,Castro Valley,CV,591789.0
215,2002,Daly City,Daly City,DC,2229175.0
216,2002,Dublin/Pleasanton,Dublin/Pleasanton,ED,1790040.0
217,2002,San Francisco,Embarcadero,EM,8406576.0
218,2002,El Cerrito,El Cerrito Del Norte,EN,2093823.0
219,2002,El Cerrito,El Cerrito Plaza,EP,1093024.0
220,2002,Fremont,Fremont,FM,1716453.0
221,2002,Oakland,Fruitvale,FV,2032280.0
222,2002,San Francisco,Glen Park,GP,2027370.0
223,2002,Hayward,Hayward,HY,1301477.0
224,2002,Lafayette,Lafayette,LF,853449.0
225,2002,Oakland,Lake Merritt,LM,1361874.0
226,2002,Oakland,MacArthur,MA,1685174.0
227,2002,Millbrae,Millbrae,MB,0.0
228,2002,Milpitas,Milpitas,ML,0.0
229,2002,San Francisco,Montgomery Street,MT,8409090.0
230,2002,Berkeley,North Berkeley,NB,999082.0
231,2002,Concord,North Concord,NC,481400.0
232,2002,Oakland,Oakland International Airport,OA,0.0
233,2002,Orinda,Orinda,OR,741645.0
234,2002,Oakland,West Oakland,OW,1287432.0
235,2002,Pittsburg,Pittsburg Center,PC,0.0
236,2002,Pleasant Hill,Pleasant Hill,PH,1683001.0
237,2002,San Francisco,Powell Street,PL,7749005.0
238,2002,Richmond,Richmond,RM,1164977.0
239,2002,Oakland,Rockridge,RR,1322694.0
240,2002,San Bruno,San Bruno,SB,0.0
241,2002,Hayward,South Hayward,SH,814468.0
242,2002,San Leandro,San Leandro,SL,1393540.0
243,2002,San Francisco,San Francisco International Airport,SO,0.0
244,2002,South San Francisco,South San Francisco,SS,0.0
245,2002,Union City,Union City,UC,1113788.0
246,2002,Walnut Creek,Walnut Creek,WC,1618492.0
247,2002,Dublin/Pleasanton,West Dublin/Pleasanton,WD,0.0
248,2002,Pittsburg,Pittsburg/Bay Point,WP,1340966.0
249,2002,Fremont,Warm Springs,WS,0.0
250,2003,Oakland,12th Street / Oakland City Center,12,3389845.0
251,2003,San Francisco,16th Street Mission,16,2562177.0
252,2003,Oakland,19th Street Oakland,19,2091694.0
253,2003,San Francisco,24th Street Mission,24,3312899.0
254,2003,Antioch,Antioch,AN,0.0
255,2003,Berkeley,Ashby,AS,1140612.0
256,2003,San Jose,Berryessa / North San José,BE,0.0
257,2003,San Leandro,Bayfair,BF,1429293.0
258,2003,Berkeley,Berkeley,BK,3177058.0
259,2003,San Francisco,Balboa Park,BP,3514748.0
260,2003,San Francisco,Civic Center,CC,5332648.0
261,2003,Oakland,Coliseum,CL,2365327.0
262,2003,Colma,Colma,CM,1497885.0
263,2003,Concord,Concord,CN,1495822.0
264,2003,Castro Valley,Castro Valley,CV,600628.0
265,2003,Daly City,Daly City,DC,2168516.0
266,2003,Dublin/Pleasanton,Dublin/Pleasanton,ED,1841080.0
267,2003,San Francisco,Embarcadero,EM,8137349.0
268,2003,El Cerrito,El Cerrito Del Norte,EN,2022277.0
269,2003,El Cerrito,El Cerrito Plaza,EP,1097986.0
270,2003,Fremont,Fremont,FM,1725063.0
271,2003,Oakland,Fruitvale,FV,1892852.0
272,2003,San Francisco,Glen Park,GP,1981267.0
273,2003,Hayward,Hayward,HY,1254009.0
274,2003,Lafayette,Lafayette,LF,852214.0
275,2003,Oakland,Lake Merritt,LM,1396110.0
276,2003,Oakland,MacArthur,MA,1749337.0
277,2003,Millbrae,Millbrae,MB,412857.0
278,2003,Milpitas,Milpitas,ML,0.0
279,2003,San Francisco,Montgomery Street,MT,8190212.0
280,2003,Berkeley,North Berkeley,NB,1017042.0
281,2003,Concord,North Concord,NC,460427.0
282,2003,Oakland,Oakland International Airport,OA,0.0
283,2003,Orinda,Orinda,OR,726213.0
284,2003,Oakland,West Oakland,OW,1219657.0
285,2003,Pittsburg,Pittsburg Center,PC,0.0
286,2003,Pleasant Hill,Pleasant Hill,PH,1678157.0
287,2003,San Francisco,Powell Street,PL,7236903.0
288,2003,Richmond,Richmond,RM,1028417.0
289,2003,Oakland,Rockridge,RR,1353575.0
290,2003,San Bruno,San Bruno,SB,223207.0
291,2003,Hayward,South Hayward,SH,791571.0
292,2003,San Leandro,San Leandro,SL,1395259.0
293,2003,San Francisco,San Francisco International Airport,SO,553783.0
294,2003,South San Francisco,South San Francisco,SS,249467.0
295,2003,Union City,Union City,UC,1084420.0
296,2003,Walnut Creek,Walnut Creek,WC,1596477.0
297,2003,Dublin/Pleasanton,West Dublin/Pleasanton,WD,0.0
298,2003,Pittsburg,Pittsburg/Bay Point,WP,1360054.0
299,2003,Fremont,Warm Springs,WS,0.0
300,2004,Oakland,12th Street / Oakland City Center,12,3336160.0
301,2004,San Francisco,16th Street Mission,16,2712714.0
302,2004,Oakland,19th Street Oakland,19,2137906.0
303,2004,San Francisco,24th Street Mission,24,3445264.0
304,2004,Antioch,Antioch,AN,0.0
305,2004,Berkeley,Ashby,AS,1188144.0
306,2004,San Jose,Berryessa / North San José,BE,0.0
307,2004,San Leandro,Bayfair,BF,1442715.0
308,2004,Berkeley,Berkeley,BK,3186603.0
309,2004,San Francisco,Balboa Park,BP,3534602.0
310,2004,San Francisco,Civic Center,CC,5603917.0
311,2004,Oakland,Coliseum,CL,2331193.0
312,2004,Colma,Colma,CM,1021273.0
313,2004,Concord,Concord,CN,1495150.0
314,2004,Castro Valley,Castro Valley,CV,625748.0
315,2004,Daly City,Daly City,DC,2132897.0
316,2004,Dublin/Pleasanton,Dublin/Pleasanton,ED,1989805.0
317,2004,San Francisco,Embarcadero,EM,8404646.0
318,2004,El Cerrito,El Cerrito Del Norte,EN,2171956.0
319,2004,El Cerrito,El Cerrito Plaza,EP,1105272.0
320,2004,Fremont,Fremont,FM,1782716.0
321,2004,Oakland,Fruitvale,FV,1975410.0
322,2004,San Francisco,Glen Park,GP,1960954.0
323,2004,Hayward,Hayward,HY,1258965.0
324,2004,Lafayette,Lafayette,LF,881786.0
325,2004,Oakland,Lake Merritt,LM,1415309.0
326,2004,Oakland,MacArthur,MA,1830238.0
327,2004,Millbrae,Millbrae,MB,948354.0
328,2004,Milpitas,Milpitas,ML,0.0
329,2004,San Francisco,Montgomery Street,MT,8353452.0
330,2004,Berkeley,North Berkeley,NB,1055237.0
331,2004,Concord,North Concord,NC,458777.0
332,2004,Oakland,Oakland International Airport,OA,0.0
333,2004,Orinda,Orinda,OR,748323.0
334,2004,Oakland,West Oakland,OW,1279425.0
335,2004,Pittsburg,Pittsburg Center,PC,0.0
336,2004,Pleasant Hill,Pleasant Hill,PH,1703953.0
337,2004,San Francisco,Powell Street,PL,7605163.0
338,2004,Richmond,Richmond,RM,1005136.0
339,2004,Oakland,Rockridge,RR,1371707.0
340,2004,San Bruno,San Bruno,SB,487457.0
341,2004,Hayward,South Hayward,SH,796901.0
342,2004,San Leandro,San Leandro,SL,1425215.0
343,2004,San Francisco,San Francisco International Airport,SO,1090896.0
344,2004,South San Francisco,South San Francisco,SS,659057.0
345,2004,Union City,Union City,UC,1086008.0
346,2004,Walnut Creek,Walnut Creek,WC,1632722.0
347,2004,Dublin/Pleasanton,West Dublin/Pleasanton,WD,0.0
348,2004,Pittsburg,Pittsburg/Bay Point,WP,1418205.0
349,2004,Fremont,Warm Springs,WS,0.0
350,2005,Oakland,12th Street / Oakland City Center,12,3385441.0
351,2005,San Francisco,16th Street Mission,16,2928835.0
352,2005,Oakland,19th Street Oakland,19,2256643.0
353,2005,San Francisco,24th Street Mission,24,3529686.0
354,2005,Antioch,Antioch,AN,0.0
355,2005,Berkeley,Ashby,AS,1240509.0
356,2005,San Jose,Berryessa / North San José,BE,0.0
357,2005,San Leandro,Bayfair,BF,1498195.0
358,2005,Berkeley,Berkeley,BK,3260575.0
359,2005,San Francisco,Balboa Park,BP,3587145.0
360,2005,San Francisco,Civic Center,CC,5580847.0
361,2005,Oakland,Coliseum,CL,2466277.0
362,2005,Colma,Colma,CM,946976.0
363,2005,Concord,Concord,CN,1507199.0
364,2005,Castro Valley,Castro Valley,CV,655322.0
365,2005,Daly City,Daly City,DC,2246990.0
366,2005,Dublin/Pleasanton,Dublin/Pleasanton,ED,2071692.0
367,2005,San Francisco,Embarcadero,EM,8690486.0
368,2005,El Cerrito,El Cerrito Del Norte,EN,2222996.0
369,2005,El Cerrito,El Cerrito Plaza,EP,1136986.0
370,2005,Fremont,Fremont,FM,1889823.0
371,2005,Oakland,Fruitvale,FV,2134646.0
372,2005,San Francisco,Glen Park,GP,1996343.0
373,2005,Hayward,Hayward,HY,1295526.0
374,2005,Lafayette,Lafayette,LF,894816.0
375,2005,Oakland,Lake Merritt,LM,1455126.0
376,2005,Oakland,MacArthur,MA,1936080.0
377,2005,Millbrae,Millbrae,MB,1022651.0
378,2005,Milpitas,Milpitas,ML,0.0
379,2005,San Francisco,Montgomery Street,MT,8561903.0
380,2005,Berkeley,North Berkeley,NB,1085442.0
381,2005,Concord,North Concord,NC,455576.0
382,2005,Oakland,Oakland International Airport,OA,0.0
383,2005,Orinda,Orinda,OR,765743.0
384,2005,Oakland,West Oakland,OW,1349955.0
385,2005,Pittsburg,Pittsburg Center,PC,0.0
386,2005,Pleasant Hill,Pleasant Hill,PH,1689258.0
387,2005,San Francisco,Powell Street,PL,7621335.0
388,2005,Richmond,Richmond,RM,1006597.0
389,2005,Oakland,Rockridge,RR,1430642.0
390,2005,San Bruno,San Bruno,SB,570531.0
391,2005,Hayward,South Hayward,SH,822113.0
392,2005,San Leandro,San Leandro,SL,1441310.0
393,2005,San Francisco,San Francisco International Airport,SO,1229047.0
394,2005,South San Francisco,South San Francisco,SS,742676.0
395,2005,Union City,Union City,UC,1114279.0
396,2005,Walnut Creek,Walnut Creek,WC,1679143.0
397,2005,Dublin/Pleasanton,West Dublin/Pleasanton,WD,0.0
398,2005,Pittsburg,Pittsburg/Bay Point,WP,1435241.0
399,2005,Fremont,Warm Springs,WS,0.0
400,2006,Oakland,12th Street / Oakland City Center,12,3428306.0
401,2006,San Francisco,16th Street Mission,16,3110082.0
402,2006,Oakland,19th Street Oakland,19,2321413.0
403,2006,San Francisco,24th Street Mission,24,3701263.0
404,2006,Antioch,Antioch,AN,0.0
405,2006,Berkeley,Ashby,AS,1295086.0
406,2006,San Jose,Berryessa / North San José,BE,0.0
407,2006,San Leandro,Bayfair,BF,1537950.0
408,2006,Berkeley,Berkeley,BK,3390412.0
409,2006,San Francisco,Balboa Park,BP,3849477.0
410,2006,San Francisco,Civic Center,CC,5557421.0
411,2006,Oakland,Coliseum,CL,2499042.0
412,2006,Colma,Colma,CM,955392.0
413,2006,Concord,Concord,CN,1542699.0
414,2006,Castro Valley,Castro Valley,CV,686863.0
415,2006,Daly City,Daly City,DC,2379689.0
416,2006,Dublin/Pleasanton,Dublin/Pleasanton,ED,2225619.0
417,2006,San Francisco,Embarcadero,EM,9147412.0
418,2006,El Cerrito,El Cerrito Del Norte,EN,2282358.0
419,2006,El Cerrito,El Cerrito Plaza,EP,1197362.0
420,2006,Fremont,Fremont,FM,1980003.0
421,2006,Oakland,Fruitvale,FV,2206218.0
422,2006,San Francisco,Glen Park,GP,2166914.0
423,2006,Hayward,Hayward,HY,1317977.0
424,2006,Lafayette,Lafayette,LF,927275.0
425,2006,Oakland,Lake Merritt,LM,1535283.0
426,2006,Oakland,MacArthur,MA,2022445.0
427,2006,Millbrae,Millbrae,MB,1059683.0
428,2006,Milpitas,Milpitas,ML,0.0
429,2006,San Francisco,Montgomery Street,MT,8946415.0
430,2006,Berkeley,North Berkeley,NB,1137711.0
431,2006,Concord,North Concord,NC,485671.0
432,2006,Oakland,Oakland International Airport,OA,0.0
433,2006,Orinda,Orinda,OR,774220.0
434,2006,Oakland,West Oakland,OW,1388800.0
435,2006,Pittsburg,Pittsburg Center,PC,0.0
436,2006,Pleasant Hill,Pleasant Hill,PH,1692810.0
437,2006,San Francisco,Powell Street,PL,8323905.0
438,2006,Richmond,Richmond,RM,990688.0
439,2006,Oakland,Rockridge,RR,1475832.0
440,2006,San Bruno,San Bruno,SB,628698.0
441,2006,Hayward,South Hayward,SH,838064.0
442,2006,San Leandro,San Leandro,SL,1479747.0
443,2006,San Francisco,San Francisco International Airport,SO,1264991.0
444,2006,South San Francisco,South San Francisco,SS,705546.0
445,2006,Union City,Union City,UC,1149746.0
446,2006,Walnut Creek,Walnut Creek,WC,1715201.0
447,2006,Dublin/Pleasanton,West Dublin/Pleasanton,WD,0.0
448,2006,Pittsburg,Pittsburg/Bay Point,WP,1455433.0
449,2006,Fremont,Warm Springs,WS,0.0
450,2007,Oakland,12th Street / Oakland City Center,12,3457089.0
451,2007,San Francisco,16th Street Mission,16,3293145.0
452,2007,Oakland,19th Street Oakland,19,2317747.0
453,2007,San Francisco,24th Street Mission,24,3814326.0
454,2007,Antioch,Antioch,AN,0.0
